# x_gpmpc,y_gpmpc
-1.000000000000000000e+00,0.000000000000000000e+00
-9.997364513332190894e-01,2.562336093626449082e-02
-9.967460247965014286e-01,7.763254200065483612e-02
-9.888145009333128010e-01,1.132349565521768575e-01
-9.759275971213547951e-01,1.022753036173209285e-01
-9.517246765982197987e-01,9.019574593676912833e-02
-9.101813293999524435e-01,1.271214260491489445e-01
-8.511813004710565567e-01,2.126662406859869958e-01
-7.775701608326827108e-01,3.231838691429371191e-01
-6.960428752312318723e-01,4.054845718087700113e-01
-6.103129477462510000e-01,4.307660760435297886e-01
